Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mode;Half life;Jp;Abundance (%)
80Rb;37;43;b+;;;33.4 s;1+;
81Rb;37;44;b+;;;4.572 h;3/2-;
82Rb;37;45;b+;;;1.2575 min;1+;
83Rb;37;46;EC;;;86.2 d;5/2-;
84Rb;37;47;b+: 96.1%;b-: 3.9%;;32.82 d;2-;
85Rb;37;48;stable;;;stable;5/2-;72.17
86Rb;37;49;b-;;;18.645 d;2-;
87Rb;37;50;b-;;;4.97E+10 y;3/2-;27.83
88Rb;37;51;b-;;;17.78 min;2-;
89Rb;37;52;b-;;;15.32 min;3/2-;
90Rb;37;53;b-;;;158 s;0-;
91Rb;37;54;b-;;;58.2 s;3/2-;
92Rb;37;55;b-;;;4.48 s;0-;
93Rb;37;56;b-;;;5.84 s;5/2-;
94Rb;37;57;b-;;;2.702 s;3-;
95Rb;37;58;b-;;;377.7 ms;5/2-;
96Rb;37;59;b-;;;201.5 ms;2-;
97Rb;37;60;b-;;;169.1 ms;3/2+;
98Rb;37;61;b-;;;115 ms;(0-);
99Rb;37;62;b-;;;54 ms;(3/2+);
100Rb;37;63;b-;;;51.3 ms;4-;
101Rb;37;64;b-;;;31.8 ms;3/2+;
102Rb;37;65;b-;;;37 ms;(4+);
103Rb;37;66;b-;;;26 ms;3/2+;
104Rb;37;67;b-;;;35 ms;;
105Rb;37;68;b-;;;;;
106Rb;37;69;b-;;;;;
73Sr;38;35;b+;;;25.3 ms;(5/2-);
74Sr;38;36;b+;;;27.6 ms;0+;
75Sr;38;37;b+;;;85.2 ms;(3/2-);
76Sr;38;38;b+;;;7.89 s;0+;
77Sr;38;39;b+;;;9 s;5/2+;
78Sr;38;40;b+;;;156.1 s;0+;
79Sr;38;41;b+;;;2.25 min;3/2-;
80Sr;38;42;b+;;;106.3 min;0+;
81Sr;38;43;b+;;;22.3 min;1/2-;
82Sr;38;44;EC;;;25.35 d;0+;
83Sr;38;45;b+;;;32.41 h;7/2+;
84Sr;38;46;stable;;;stable;0+;0.56
85Sr;38;47;EC;;;64.846 d;9/2+;
86Sr;38;48;stable;;;stable;0+;9.86
87Sr;38;49;stable;;;stable;9/2+;7.00
88Sr;38;50;stable;;;stable;0+;82.58
89Sr;38;51;b-;;;50.563 d;5/2+;
90Sr;38;52;b-;;;28.91 y;0+;
91Sr;38;53;b-;;;9.65 h;5/2+;
92Sr;38;54;b-;;;2.611 h;0+;
93Sr;38;55;b-;;;7.43 min;5/2+;
94Sr;38;56;b-;;;75.3 s;0+;
95Sr;38;57;b-;;;23.9 s;1/2+;
96Sr;38;58;b-;;;1.059 s;0+;
97Sr;38;59;b-;;;432 ms;1/2+;
98Sr;38;60;b-;;;653 ms;0+;
99Sr;38;61;b-;;;269.2 ms;3/2+;
100Sr;38;62;b-;;;202.1 ms;0+;
101Sr;38;63;b-;;;113.7 ms;(5/2-);
102Sr;38;64;b-;;;69 ms;0+;
103Sr;38;65;b-;;;53 ms;5/2+;
104Sr;38;66;b-;;;50.6 ms;0+;
105Sr;38;67;b-;;;39 ms;5/2+;
106Sr;38;68;b-;;;21 ms;0+;
107Sr;38;69;b-;;;25 ms;1/2+;
108Sr;38;70;b-;;;;;
76Y;39;37;b+;;;28 ms;1-;
77Y;39;38;b+;;;63 ms;5/2+;
78Y;39;39;b+;;;54 ms;(0+);
79Y;39;40;b+;;;14.8 s;5/2+;
80Y;39;41;b+;;;30.1 s;4-;
81Y;39;42;b+;;;70.4 s;(5/2+);
82Y;39;43;b+;;;8.3 s;1+;
83Y;39;44;b+;;;7.08 min;(9/2+);
84Y;39;45;b+;;;39.5 min;(6+);
85Y;39;46;b+;;;2.68 h;(1/2)-;
86Y;39;47;b+;;;14.74 h;4-;
87Y;39;48;b+;;;79.8 h;1/2-;
88Y;39;49;b+;;;106.629 d;4-;
89Y;39;50;stable;;;stable;1/2-;100
90Y;39;51;b-;;;64.05 h;2-;
91Y;39;52;b-;;;58.51 d;1/2-;
92Y;39;53;b-;;;3.54 h;2-;
93Y;39;54;b-;;;10.18 h;1/2-;
94Y;39;55;b-;;;18.7 min;2-;
95Y;39;56;b-;;;10.3 min;1/2-;
96Y;39;57;b-;;;5.34 s;0-;
97Y;39;58;b-;;;3.75 s;1/2-;
98Y;39;59;b-;;;548 ms;0-;
99Y;39;60;b-;;;1.484 s;5/2+;
100Y;39;61;b-;;;940 ms;4+;
101Y;39;62;b-;;;426 ms;5/2+;
102Y;39;63;b-;;;360 ms;(5-);
103Y;39;64;b-;;;239 ms;5/2+;
104Y;39;65;b-;;;197 ms;(0+,1+);
105Y;39;66;b-;;;95 ms;5/2+;
106Y;39;67;b-;;;75 ms;2+;
107Y;39;68;b-;;;33.5 ms;5/2+;
108Y;39;69;b-;;;30 ms;6-;
109Y;39;70;b-;;;25 ms;5/2+;
110Y;39;71;b-;;;;;
111Y;39;72;b-;;;;;
77Zr;40;37;b+;;;100 µs;3/2-;
78Zr;40;38;b+;;;50 ms;0+;
79Zr;40;39;b+;;;56 ms;5/2+;
80Zr;40;40;b+;;;4.6 s;0+;
81Zr;40;41;b+;;;5.5 s;(3/2-);
82Zr;40;42;b+;;;32 s;0+;
83Zr;40;43;b+;;;42 s;1/2-;
84Zr;40;44;b+;;;25.8 min;0+;
85Zr;40;45;b+;;;7.86 min;(7/2+);
86Zr;40;46;b+;;;16.5 h;0+;
87Zr;40;47;b+;;;1.68 h;9/2+;
88Zr;40;48;EC;;;83.4 d;0+;
89Zr;40;49;b+;;;78.36 h;9/2+;
90Zr;40;50;stable;;;stable;0+;51.45
91Zr;40;51;stable;;;stable;5/2+;11.22
92Zr;40;52;stable;;;stable;0+;17.15
93Zr;40;53;b-;;;1.61E+6 y;5/2+;
94Zr;40;54;stable;;;stable;0+;17.38
95Zr;40;55;b-;;;64.032 d;5/2+;
96Zr;40;56;2b-;;;2.34E+19 y;0+;2.80
97Zr;40;57;b-;;;16.749 h;1/2+;
98Zr;40;58;b-;;;30.7 s;0+;
99Zr;40;59;b-;;;2.1 s;1/2+;
100Zr;40;60;b-;;;7.1 s;0+;
101Zr;40;61;b-;;;2.29 s;3/2+;
102Zr;40;62;b-;;;2.01 s;0+;
103Zr;40;63;b-;;;1.38 s;(5/2-);
104Zr;40;64;b-;;;920 ms;0+;
105Zr;40;65;b-;;;670 ms;1/2+;
106Zr;40;66;b-;;;179 ms;0+;
107Zr;40;67;b-;;;145.7 ms;5/2+;
108Zr;40;68;b-;;;78.5 ms;0+;
109Zr;40;69;b-;;;56 ms;5/2+;
110Zr;40;70;b-;;;37.5 ms;0+;
111Zr;40;71;b-;;;24 ms;5/2+;
112Zr;40;72;b-;;;43 ms;0+;
113Zr;40;73;b-;;;15 ms;3/2+;
114Zr;40;74;b-;;;;0+;
81Nb;41;40;b+;;;;;
82Nb;41;41;b+;;;51 ms;(0+);
83Nb;41;42;b+;;;3.9 s;9/2+;
84Nb;41;43;b+;;;9.8 s;(1+);
85Nb;41;44;b+;;;20.5 s;9/2+;
86Nb;41;45;b+;;;88 s;(6+);
87Nb;41;46;b+;;;3.7 min;(1/2)-;
88Nb;41;47;b+;;;14.5 min;(8+);
89Nb;41;48;b+;;;2.03 h;(9/2+);
90Nb;41;49;b+;;;14.6 h;8+;
91Nb;41;50;b+;;;680 y;9/2+;
92Nb;41;51;b+;;;3.47E+7 y;7+;
93Nb;41;52;stable;;;stable;9/2+;100
94Nb;41;53;b-;;;2.04E+4 y;6+;
95Nb;41;54;b-;;;34.991 d;9/2+;
96Nb;41;55;b-;;;23.35 h;6+;
97Nb;41;56;b-;;;72.1 min;9/2+;
98Nb;41;57;b-;;;2.86 s;1+;
99Nb;41;58;b-;;;15 s;9/2+;
100Nb;41;59;b-;;;1.5 s;1+;
101Nb;41;60;b-;;;7.1 s;5/2+;
102Nb;41;61;b-;;;4.3 s;(4+);
103Nb;41;62;b-;;;1.34 s;5/2+;
104Nb;41;63;b-;;;0.98 s;(1+);
105Nb;41;64;b-;;;2.91 s;(5/2+);
106Nb;41;65;b-;;;900 ms;1-;
107Nb;41;66;b-;;;286 ms;(5/2+);
108Nb;41;67;b-;;;201 ms;(2+);
109Nb;41;68;b-;;;106.9 ms;3/2-;
110Nb;41;69;b-;;;75 ms;5+;
111Nb;41;70;b-;;;54 ms;3/2-;
112Nb;41;71;b-;;;38 ms;1+;
113Nb;41;72;b-;;;32 ms;3/2-;
114Nb;41;73;b-;;;17 ms;2-;
115Nb;41;74;b-;;;23 ms;3/2-;
116Nb;41;75;b-;;;12 ms;1-;
117Nb;41;76;b-;;;;;
81Mo;42;39;b+;;;1 ms;5/2+;
82Mo;42;40;b+;;;30 ms;0+;
83Mo;42;41;b+;;;23 ms;3/2-;
84Mo;42;42;b+;;;2.3 s;0+;
85Mo;42;43;b+;;;3.2 s;(1/2+);
86Mo;42;44;b+;;;19.1 s;0+;
87Mo;42;45;b+;;;14.1 s;7/2+;
88Mo;42;46;b+;;;8 min;0+;
89Mo;42;47;b+;;;2.11 min;(9/2+);
90Mo;42;48;b+;;;5.56 h;0+;
91Mo;42;49;b+;;;15.49 min;9/2+;
92Mo;42;50;stable;;;stable;0+;14.84
93Mo;42;51;EC;;;4839 y;5/2+;
94Mo;42;52;stable;;;stable;0+;9.25
95Mo;42;53;stable;;;stable;5/2+;15.92
96Mo;42;54;stable;;;stable;0+;16.68
97Mo;42;55;stable;;;stable;5/2+;9.55
98Mo;42;56;stable;;;stable;0+;24.13
99Mo;42;57;b-;;;65.932 h;1/2+;
100Mo;42;58;2b-;;;7.07E+18 y;0+;9.63
101Mo;42;59;b-;;;14.61 min;1/2+;
102Mo;42;60;b-;;;11.3 min;0+;
103Mo;42;61;b-;;;67.5 s;3/2+;
104Mo;42;62;b-;;;60 s;0+;
105Mo;42;63;b-;;;36.3 s;(5/2-);
106Mo;42;64;b-;;;8.73 s;0+;
107Mo;42;65;b-;;;3.5 s;(1/2+);
108Mo;42;66;b-;;;1.105 s;0+;
109Mo;42;67;b-;;;700 ms;(1/2+);
110Mo;42;68;b-;;;292 ms;0+;
111Mo;42;69;b-;;;193.6 ms;1/2+;
112Mo;42;70;b-;;;125 ms;0+;
113Mo;42;71;b-;;;80 ms;5/2+;
114Mo;42;72;b-;;;58 ms;0+;
115Mo;42;73;b-;;;45.5 ms;3/2+;
116Mo;42;74;b-;;;32 ms;0+;
117Mo;42;75;b-;;;22 ms;3/2+;
118Mo;42;76;b-;;;21 ms;0+;
119Mo;42;77;b-;;;12 ms;3/2+;
85Tc;43;42;p;;;;;
86Tc;43;43;b+;;;55 ms;(0+);
87Tc;43;44;b+;;;2.14 s;9/2+;
88Tc;43;45;b+;;;6.4 s;(2+);
89Tc;43;46;b+;;;12.8 s;(9/2+);
90Tc;43;47;b+;;;49.2 s;(8+);
91Tc;43;48;b+;;;3.14 min;(9/2)+;
92Tc;43;49;b+;;;4.25 min;(8)+;
93Tc;43;50;b+;;;2.75 h;9/2+;
94Tc;43;51;b+;;;293 min;7+;
95Tc;43;52;b+;;;19.258 h;9/2+;
96Tc;43;53;b+;;;4.28 d;7+;
97Tc;43;54;EC;;;4.21E+6 y;9/2+;
98Tc;43;55;b-: 99.7%;EC: 0.3%;;4.2E+6 y;6+;
99Tc;43;56;b-;;;2.111E+5 y;9/2+;
100Tc;43;57;b-;;;15.46 s;1+;
101Tc;43;58;b-;;;14.22 min;9/2+;
102Tc;43;59;b-;;;5.28 s;1+;
103Tc;43;60;b-;;;54.2 s;5/2+;
104Tc;43;61;b-;;;18.3 min;(3-);
105Tc;43;62;b-;;;7.64 min;(3/2-);
106Tc;43;63;b-;;;35.6 s;;
107Tc;43;64;b-;;;21.2 s;(3/2-);
108Tc;43;65;b-;;;5.17 s;(2)+;
109Tc;43;66;b-;;;905 ms;(5/2+);
110Tc;43;67;b-;;;900 ms;(2+,3+);
111Tc;43;68;b-;;;350 ms;5/2+;
112Tc;43;69;b-;;;323 ms;(2+);
113Tc;43;70;b-;;;152 ms;5/2+;
114Tc;43;71;b-;;;121 ms;5+;
115Tc;43;72;b-;;;78 ms;5/2+;
116Tc;43;73;b-;;;57 ms;2+;
117Tc;43;74;b-;;;44.5 ms;5/2+;
118Tc;43;75;b-;;;30 ms;2+;
119Tc;43;76;b-;;;22 ms;5/2+;
120Tc;43;77;b-;;;21 ms;3+;
121Tc;43;78;b-;;;22 ms;5/2+;
122Tc;43;79;b-;;;13 ms;1+;
85Ru;44;41;b+;;;1 ms;3/2-;
86Ru;44;42;b+;;;50 ms;0+;
87Ru;44;43;b+;;;50 ms;1/2-;
88Ru;44;44;b+;;;1.5 s;0+;
89Ru;44;45;b+;;;1.32 s;(9/2+);
90Ru;44;46;b+;;;11.7 s;0+;
91Ru;44;47;b+;;;8 s;(9/2+);
92Ru;44;48;b+;;;3.65 min;0+;
93Ru;44;49;b+;;;59.7 s;(9/2)+;
94Ru;44;50;b+;;;51.8 min;0+;
95Ru;44;51;b+;;;1.607 h;5/2+;
96Ru;44;52;stable;;;stable;0+;5.54
97Ru;44;53;b+;;;2.837 d;5/2+;
98Ru;44;54;stable;;;stable;0+;1.87
99Ru;44;55;stable;;;stable;5/2+;12.76
100Ru;44;56;stable;;;stable;0+;12.60
101Ru;44;57;stable;;;stable;5/2+;17.06
102Ru;44;58;stable;;;stable;0+;31.55
103Ru;44;59;b-;;;39.245 d;3/2+;
104Ru;44;60;stable;;;stable;0+;18.62
105Ru;44;61;b-;;;4.439 h;3/2+;
106Ru;44;62;b-;;;371.8 d;0+;
107Ru;44;63;b-;;;3.75 min;(5/2)+;
108Ru;44;64;b-;;;4.55 min;0+;
109Ru;44;65;b-;;;34.4 s;(5/2+);
110Ru;44;66;b-;;;12.04 s;0+;
111Ru;44;67;b-;;;2.12 s;5/2+;
112Ru;44;68;b-;;;1.75 s;0+;
113Ru;44;69;b-;;;0.8 s;(1/2+);
114Ru;44;70;b-;;;0.54 s;0+;
115Ru;44;71;b-;;;318 ms;(1/2+);
116Ru;44;72;b-;;;204 ms;0+;
117Ru;44;73;b-;;;151 ms;3/2+;
118Ru;44;74;b-;;;99 ms;0+;
119Ru;44;75;b-;;;69.5 ms;3/2+;
120Ru;44;76;b-;;;45 ms;0+;
121Ru;44;77;b-;;;29 ms;3/2+;
122Ru;44;78;b-;;;25 ms;0+;
123Ru;44;79;b-;;;19 ms;3/2+;
124Ru;44;80;b-;;;15 ms;0+;
125Ru;44;81;b-;;;12 ms;3/2+;
89Rh;45;44;p;b+;;;;
90Rh;45;45;b+;;;29 ms;(0+);
91Rh;45;46;b+;;;1.47 s;(9/2+);
92Rh;45;47;b+;;;5.61 s;(6+);
93Rh;45;48;b+;;;13.9 s;9/2+;
94Rh;45;49;b+;;;70.6 s;(4+);
95Rh;45;50;b+;;;5.02 min;(9/2)+;
96Rh;45;51;b+;;;9.9 min;6+;
97Rh;45;52;b+;;;30.7 min;9/2+;
98Rh;45;53;b+;;;8.72 min;(2)+;
99Rh;45;54;b+;;;16.1 d;1/2-;
100Rh;45;55;b+;;;20.8 h;1-;
101Rh;45;56;EC;;;4.07 y;1/2-;
102Rh;45;57;b+: 78.0%;b-: 22.0%;;207 d;2-;
103Rh;45;58;stable;;;stable;1/2-;100
104Rh;45;59;b-: 99.5%;b+: 0.5%;;42.3 s;1+;
105Rh;45;60;b-;;;35.341 h;7/2+;
106Rh;45;61;b-;;;30.07 s;1+;
107Rh;45;62;b-;;;21.7 min;7/2+;
108Rh;45;63;b-;;;16.8 s;1+;
109Rh;45;64;b-;;;80.8 s;7/2+;
110Rh;45;65;b-;;;3.35 s;(1+);
111Rh;45;66;b-;;;11 s;(7/2+);
112Rh;45;67;b-;;;3.4 s;(1+);
113Rh;45;68;b-;;;2.8 s;(7/2+);
114Rh;45;69;b-;;;1.85 s;1+;
115Rh;45;70;b-;;;1.03 s;(7/2+);
116Rh;45;71;b-;;;685 ms;1+;
117Rh;45;72;b-;;;421 ms;7/2+;
118Rh;45;73;b-;;;282 ms;1+;
119Rh;45;74;b-;;;190 ms;7/2+;
120Rh;45;75;b-;;;129.6 ms;8-;
121Rh;45;76;b-;;;74 ms;7/2+;
122Rh;45;77;b-;;;51 ms;7-;
123Rh;45;78;b-;;;42 ms;7/2+;
124Rh;45;79;b-;;;30 ms;2+;
125Rh;45;80;b-;;;26.5 ms;7/2+;
126Rh;45;81;b-;;;19 ms;1-;
127Rh;45;82;b-;;;28 ms;7/2+;
128Rh;45;83;b-;;;8 ms;;
90Pd;46;44;b+;;;10 ms;0+;
91Pd;46;45;b+;;;32 ms;7/2+;
92Pd;46;46;b+;;;1.06 s;0+;
93Pd;46;47;b+;;;1.17 s;(9/2+);
94Pd;46;48;b+;;;9.1 s;0+;
95Pd;46;49;b+;;;7.4 s;9/2+;
96Pd;46;50;b+;;;122 s;0+;
97Pd;46;51;b+;;;3.1 min;5/2+;
98Pd;46;52;b+;;;17.7 min;0+;
99Pd;46;53;b+;;;21.4 min;(5/2)+;
100Pd;46;54;EC;;;3.63 d;0+;
101Pd;46;55;b+;;;8.47 h;5/2+;
102Pd;46;56;stable;;;stable;0+;1.02
103Pd;46;57;EC;;;16.991 d;5/2+;
104Pd;46;58;stable;;;stable;0+;11.14
105Pd;46;59;stable;;;stable;5/2+;22.33
106Pd;46;60;stable;;;stable;0+;27.33
107Pd;46;61;b-;;;6.5E+6 y;5/2+;
108Pd;46;62;stable;;;stable;0+;26.46
109Pd;46;63;b-;;;13.59 h;5/2+;
110Pd;46;64;stable;;;stable;0+;11.72
111Pd;46;65;b-;;;23.56 min;5/2+;
112Pd;46;66;b-;;;21.04 h;0+;
113Pd;46;67;b-;;;93 s;(5/2+);
114Pd;46;68;b-;;;2.42 min;0+;
115Pd;46;69;b-;;;25 s;(1/2)+;
116Pd;46;70;b-;;;11.8 s;0+;
117Pd;46;71;b-;;;4.3 s;(3/2+);
118Pd;46;72;b-;;;1.9 s;0+;
119Pd;46;73;b-;;;0.88 s;1/2+, 3/2+;
120Pd;46;74;b-;;;492 ms;0+;
121Pd;46;75;b-;;;290 ms;3/2+;
122Pd;46;76;b-;;;193 ms;0+;
123Pd;46;77;b-;;;108 ms;3/2+;
124Pd;46;78;b-;;;88 ms;0+;
125Pd;46;79;b-;;;60 ms;3/2+;
126Pd;46;80;b-;;;48.6 ms;0+;
127Pd;46;81;b-;;;38 ms;11/2-;
128Pd;46;82;b-;;;35 ms;0+;
129Pd;46;83;b-;;;31 ms;7/2-;
130Pd;46;84;b-;;;27 ms;0+;
131Pd;46;85;b-;;;20 ms;7/2-;
92Ag;47;45;b+;;;1 ms;;
93Ag;47;46;b+;;;228 ns;9/2+;
94Ag;47;47;b+;;;27 ms;0+;
95Ag;47;48;b+;;;1.78 s;(9/2+);
96Ag;47;49;b+;;;4.45 s;(8)+;
97Ag;47;50;b+;;;25.5 s;(9/2)+;
98Ag;47;51;b+;;;47.5 s;(6)+;
99Ag;47;52;b+;;;2.07 min;(9/2)+;
100Ag;47;53;b+;;;2.01 min;(5)+;
101Ag;47;54;b+;;;11.1 min;9/2+;
102Ag;47;55;b+;;;12.9 min;5+;
103Ag;47;56;b+;;;65.7 min;7/2+;
104Ag;47;57;b+;;;69.2 min;5+;
105Ag;47;58;b+;;;41.29 d;1/2-;
106Ag;47;59;b+;;;23.96 min;1+;
107Ag;47;60;stable;;;stable;1/2-;51.84
108Ag;47;61;b-: 97.2%;b+: 2.8%;;2.382 min;1+;
109Ag;47;62;stable;;;stable;1/2-;48.16
110Ag;47;63;b-: 99.7%;EC: 0.3%;;24.56 s;1+;
111Ag;47;64;b-;;;7.433 d;1/2-;
112Ag;47;65;b-;;;3.13 h;2(-);
113Ag;47;66;b-;;;5.37 h;1/2-;
114Ag;47;67;b-;;;4.6 s;1+;
115Ag;47;68;b-;;;20 min;1/2-;
116Ag;47;69;b-;;;3.83 min;(0-);
117Ag;47;70;b-;;;73.6 s;1/2-;
118Ag;47;71;b-;;;3.76 s;(2-);
119Ag;47;72;b-;;;2.1 s;(7/2+);
120Ag;47;73;b-;;;1.52 s;4(+);
121Ag;47;74;b-;;;777 ms;7/2+;
122Ag;47;75;b-;;;550 ms;(1-);
123Ag;47;76;b-;;;294 ms;(7/2+);
124Ag;47;77;b-;;;177.9 ms;(2-);
125Ag;47;78;b-;;;160 ms;(9/2+);
126Ag;47;79;b-;;;52 ms;3+;
127Ag;47;80;b-;;;89 ms;(9/2+);
128Ag;47;81;b-;;;54 ms;(9-);
129Ag;47;82;b-;;;49.9 ms;9/2+;
130Ag;47;83;b-;;;40.6 ms;1-;
131Ag;47;84;b-;;;35 ms;9/2+;
132Ag;47;85;b-;;;30 ms;6-;
94Cd;48;46;b+;;;80 ms;0+;
95Cd;48;47;b+;;;32 ms;9/2+;
96Cd;48;48;b+;;;1.003 s;0+;
97Cd;48;49;b+;;;1.16 s;(9/2+);
98Cd;48;50;b+;;;9.29 s;0+;
99Cd;48;51;b+;;;17 s;5/2+;
100Cd;48;52;b+;;;49.1 s;0+;
101Cd;48;53;b+;;;1.36 min;5/2+;
102Cd;48;54;b+;;;5.5 min;0+;
103Cd;48;55;b+;;;7.3 min;5/2+;
104Cd;48;56;b+;;;57.7 min;0+;
105Cd;48;57;b+;;;55.5 min;5/2+;
106Cd;48;58;stable;;;stable;0+;1.25
107Cd;48;59;b+;;;6.5 h;5/2+;
108Cd;48;60;stable;;;stable;0+;0.89
109Cd;48;61;EC;;;461.3 d;5/2+;
110Cd;48;62;stable;;;stable;0+;12.49
111Cd;48;63;stable;;;stable;1/2+;12.80
112Cd;48;64;stable;;;stable;0+;24.13
113Cd;48;65;b-;;;8.04E+15 y;1/2+;12.22
114Cd;48;66;stable;;;stable;0+;28.73
115Cd;48;67;b-;;;53.46 h;1/2+;
116Cd;48;68;2b-;;;2.69E+19 y;0+;7.49
117Cd;48;69;b-;;;2.503 h;1/2+;
118Cd;48;70;b-;;;50.3 min;0+;
119Cd;48;71;b-;;;2.69 min;1/2+;
120Cd;48;72;b-;;;50.8 s;0+;
121Cd;48;73;b-;;;13.5 s;3/2+;
122Cd;48;74;b-;;;5.98 s;0+;
123Cd;48;75;b-;;;2.1 s;3/2+;
124Cd;48;76;b-;;;1.25 s;0+;
125Cd;48;77;b-;;;680 ms;3/2+;
126Cd;48;78;b-;;;512 ms;0+;
127Cd;48;79;b-;;;480 ms;3/2+;
128Cd;48;80;b-;;;246 ms;0+;
129Cd;48;81;b-;;;147 ms;11/2-;
130Cd;48;82;b-;;;126.8 ms;0+;
131Cd;48;83;b-;;;98 ms;7/2-;
132Cd;48;84;b-;;;84 ms;0+;
133Cd;48;85;b-;;;61 ms;7/2-;
134Cd;48;86;b-;;;65 ms;0+;
96In;49;47;b+;;;1 ms;9/2+;
97In;49;48;b+;;;36 ms;9/2+;
98In;49;49;b+;;;30 ms;(0+);
99In;49;50;b+;;;3.11 s;9/2+;
100In;49;51;b+;;;5.62 s;6+;
101In;49;52;b+;;;15.1 s;(9/2+);
102In;49;53;b+;;;23.3 s;(6+);
103In;49;54;b+;;;60 s;(9/2+);
104In;49;55;b+;;;1.8 min;(5+);
105In;49;56;b+;;;5.07 min;9/2+;
106In;49;57;b+;;;6.2 min;7+;
107In;49;58;b+;;;32.4 min;9/2+;
108In;49;59;b+;;;58 min;7+;
109In;49;60;b+;;;4.159 h;9/2+;
110In;49;61;b+;;;4.92 h;7+;
111In;49;62;EC;;;2.8048 d;9/2+;
112In;49;63;b+: 62%;b-: 38%;;14.88 min;1+;
113In;49;64;stable;;;stable;9/2+;4.28
114In;49;65;b-: 99.5%;b+: 0.5%;;71.9 s;1+;
115In;49;66;b-;;;4.41E+14 y;9/2+;95.72
116In;49;67;b-;;;14.1 s;1+;
117In;49;68;b-;;;43.2 min;9/2+;
118In;49;69;b-;;;5 s;1+;
119In;49;70;b-;;;2.4 min;9/2+;
120In;49;71;b-;;;3.08 s;1+;
121In;49;72;b-;;;23.1 s;9/2+;
122In;49;73;b-;;;10.3 s;5+;
123In;49;74;b-;;;6.17 s;9/2+;
124In;49;75;b-;;;3.67 s;8-;
125In;49;76;b-;;;2.36 s;9/2+;
126In;49;77;b-;;;1.53 s;3+;
127In;49;78;b-;;;1.086 s;9/2+;
128In;49;79;b-;;;816 ms;(3)+;
129In;49;80;b-;;;570 ms;9/2+;
130In;49;81;b-;;;273 ms;1(-);
131In;49;82;b-;;;261.5 ms;9/2+;
132In;49;83;b-;;;202.2 ms;(7-);
133In;49;84;b-;;;163 ms;(9/2+);
134In;49;85;b-;;;140 ms;7-;
135In;49;86;b-;;;103 ms;9/2+;
136In;49;87;b-;;;86 ms;7-;
137In;49;88;b-;;;70 ms;9/2+;
98Sn;50;48;b+;;;;0+;
99Sn;50;49;b+;;;24 ms;9/2+;
100Sn;50;50;b+;;;1.18 s;0+;
101Sn;50;51;b+;;;2.22 s;(7/2+);
102Sn;50;52;b+;;;3.8 s;0+;
103Sn;50;53;b+;;;7 s;5/2+;
104Sn;50;54;b+;;;20.8 s;0+;
105Sn;50;55;b+;;;32.7 s;(5/2+);
106Sn;50;56;b+;;;1.92 min;0+;
107Sn;50;57;b+;;;2.9 min;(5/2+);
108Sn;50;58;b+;;;10.3 min;0+;
109Sn;50;59;b+;;;18.1 min;5/2+;
110Sn;50;60;EC;;;4.154 h;0+;
111Sn;50;61;b+;;;35.3 min;7/2+;
112Sn;50;62;stable;;;stable;0+;0.97
113Sn;50;63;b+;;;115.08 d;1/2+;
114Sn;50;64;stable;;;stable;0+;0.66
115Sn;50;65;stable;;;stable;1/2+;0.34
116Sn;50;66;stable;;;stable;0+;14.54
117Sn;50;67;stable;;;stable;1/2+;7.68
118Sn;50;68;stable;;;stable;0+;24.22
119Sn;50;69;stable;;;stable;1/2+;8.59
120Sn;50;70;stable;;;stable;0+;32.58
121Sn;50;71;b-;;;27.03 h;3/2+;
122Sn;50;72;stable;;;stable;0+;4.63
123Sn;50;73;b-;;;129.2 d;11/2-;
124Sn;50;74;stable;;;stable;0+;5.79
125Sn;50;75;b-;;;9.634 d;11/2-;
126Sn;50;76;b-;;;2.3E+5 y;0+;
127Sn;50;77;b-;;;2.1 h;11/2-;
128Sn;50;78;b-;;;59.07 min;0+;
129Sn;50;79;b-;;;2.23 min;3/2+;
130Sn;50;80;b-;;;3.72 min;0+;
131Sn;50;81;b-;;;56 s;3/2+;
132Sn;50;82;b-;;;39.7 s;0+;
133Sn;50;83;b-;;;1.37 s;7/2-;
134Sn;50;84;b-;;;0.93 s;0+;
135Sn;50;85;b-;;;515 ms;7/2-;
136Sn;50;86;b-;;;355 ms;0+;
137Sn;50;87;b-;;;249 ms;5/2-;
138Sn;50;88;b-;;;148 ms;0+;
139Sn;50;89;b-;;;120 ms;5/2-;
140Sn;50;90;b-;;;50 ms;0+;
103Sb;51;52;p;b+;;;;
104Sb;51;53;b+;;;470 ms;;
105Sb;51;54;b+;;;1.12 s;(5/2+);
106Sb;51;55;b+;;;0.6 s;(2+);
107Sb;51;56;b+;;;4 s;5/2+;
108Sb;51;57;b+;;;7.4 s;(4+);
109Sb;51;58;b+;;;17.2 s;5/2+;
110Sb;51;59;b+;;;23.6 s;(3+);
111Sb;51;60;b+;;;75 s;(5/2+);
112Sb;51;61;b+;;;53.5 s;(3+);
113Sb;51;62;b+;;;6.67 min;5/2+;
114Sb;51;63;b+;;;3.49 min;3+;
115Sb;51;64;b+;;;32.1 min;5/2+;
116Sb;51;65;b+;;;15.8 min;3+;
117Sb;51;66;b+;;;2.97 h;5/2+;
118Sb;51;67;b+;;;3.6 min;1+;
119Sb;51;68;EC;;;38.19 h;5/2+;
120Sb;51;69;b+;;;15.89 min;1+;
121Sb;51;70;stable;;;stable;5/2+;57.21
122Sb;51;71;b-: 97.6%;b+: 2.4%;;2.7238 d;2-;
